Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
cloud-nine-ergomax-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Strandmattress",TRUE,Size,Double (137cm),Length,Standard (188cm),Configuration,Mattress Only,cloud-nine-ergomax-bed-set-7,50000,,100,continue,manual,2559,,TRUE,TRUE,,,,,FALSE,Ergomax Bed Set,Ergomax Bed Set by Cloud Nine. Official Strandmattress collection.,active
cloud-nine-ergomax-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Strandmattress",TRUE,Size,Queen (152cm),Length,Standard (188cm),Configuration,Mattress Only,cloud-nine-ergomax-bed-set-8,50000,,100,continue,manual,2829,,TRUE,TRUE,,,,,FALSE,Ergomax Bed Set,Ergomax Bed Set by Cloud Nine. Official Strandmattress collection.,active
cloud-nine-grande-bed-set,Grande Bed Set,"<h3>Grande Bed Set</h3>
<p><strong>Manufacturer:</strong> Cloud Nine<br/>
<strong>Range:</strong> Ultra Premium</p>
<h4>Official Product Links & Guidelines:</h4>
<ul>
  <li><a href=""https://www.bedsonline.co.za/product/cloud-nine-grande-queen/"" target=""_blank"" rel=""noopener noreferrer"">https://www.bedsonline.co.za/product/cloud-nine-grande-queen/</a></li>
  <li><a href=""https://cloudnine.co.za/ultra-premium/grande/"" target=""_blank"" rel=""noopener noreferrer"">https://cloudnine.co.za/ultra-premium/grande/</a></li>
</ul>
",Cloud Nine,Furniture > Beds & Accessories > Mattresses,Beds & Mattresses,"Cloud Nine, Ultra Premium",TRUE,Size,Single (91cm),Length,Standard (188cm),Configuration,Bed Set,cloud-nine-grande-bed-set-1,50000,,100,continue,manual,12589,,TRUE,TRUE,,https://wondrous-baklava-e13b07.netlify.app/assets/products/cloud_nine_Cloud_Nine_Grande_Bed_Set.png,1,Grande Bed Set,FALSE,Grande Bed Set,Grande Bed Set by Cloud Nine. Official Ultra Premium collection.,active
cloud-nine-grande-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Ultra Premium",TRUE,Size,Three Quarter (107cm),Length,Standard (188cm),Configuration,Bed Set,cloud-nine-grande-bed-set-2,50000,,100,continue,manual,14279,,TRUE,TRUE,,,,,FALSE,Grande Bed Set,Grande Bed Set by Cloud Nine. Official Ultra Premium collection.,active
cloud-nine-grande-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Ultra Premium",TRUE,Size,Double (137cm),Length,Standard (188cm),Configuration,Bed Set,cloud-nine-grande-bed-set-3,50000,,100,continue,manual,17179,,TRUE,TRUE,,,,,FALSE,Grande Bed Set,Grande Bed Set by Cloud Nine. Official Ultra Premium collection.,active
cloud-nine-grande-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Ultra Premium",TRUE,Size,Queen (152cm),Length,Standard (188cm),Configuration,Bed Set,cloud-nine-grande-bed-set-4,50000,,100,continue,manual,18659,,TRUE,TRUE,,,,,FALSE,Grande Bed Set,Grande Bed Set by Cloud Nine. Official Ultra Premium collection.,active
cloud-nine-grande-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Ultra Premium",TRUE,Size,King (183cm),Length,Standard (188cm),Configuration,Bed Set,cloud-nine-grande-bed-set-5,50000,,100,continue,manual,22689,,TRUE,TRUE,,,,,FALSE,Grande Bed Set,Grande Bed Set by Cloud Nine. Official Ultra Premium collection.,active
cloud-nine-grande-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Ultra Premium",TRUE,Size,Single (91cm),Length,Extra Length (200cm),Configuration,Bed Set,cloud-nine-grande-bed-set-6,50000,,100,continue,manual,13599,,TRUE,TRUE,,,,,FALSE,Grande Bed Set,Grande Bed Set by Cloud Nine. Official Ultra Premium collection.,active
cloud-nine-grande-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Ultra Premium",TRUE,Size,Three Quarter (107cm),Length,Extra Length (200cm),Configuration,Bed Set,cloud-nine-grande-bed-set-7,50000,,100,continue,manual,15429,,TRUE,TRUE,,,,,FALSE,Grande Bed Set,Grande Bed Set by Cloud Nine. Official Ultra Premium collection.,active
cloud-nine-grande-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Ultra Premium",TRUE,Size,Double (137cm),Length,Extra Length (200cm),Configuration,Bed Set,cloud-nine-grande-bed-set-8,50000,,100,continue,manual,18559,,TRUE,TRUE,,,,,FALSE,Grande Bed Set,Grande Bed Set by Cloud Nine. Official Ultra Premium collection.,active
